epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
91,2033.56,1.06848,0.63192,0.00522,0.95015,0.85743,0.90997,0.59444,1.43638,0.90751,0.0088,0.000198018,0.000198018,0.000198018
92,2054.02,0.99464,0.55472,0.00493,0.94539,0.86687,0.91124,0.606,1.46521,0.90974,0.00924,0.000191673,0.000191673,0.000191673
93,2074.53,1.01153,0.65121,0.00539,0.94889,0.86555,0.90597,0.60951,1.42733,0.92148,0.00898,0.000185329,0.000185329,0.000185329
94,2094.95,0.99303,0.62002,0.00535,0.9598,0.84768,0.91035,0.59468,1.46037,0.9282,0.00903,0.000178985,0.000178985,0.000178985
95,2115.67,1.02059,0.60231,0.00494,0.95647,0.86292,0.91095,0.60418,1.43558,0.92117,0.00889,0.000172641,0.000172641,0.000172641
96,2136.36,1.00619,0.58804,0.0049,0.95094,0.85696,0.91527,0.6134,1.44549,0.90983,0.00896,0.000166296,0.000166296,0.000166296
97,2156.49,0.97941,0.55668,0.00473,0.93149,0.8627,0.91663,0.60637,1.45168,0.9252,0.00896,0.000159952,0.000159952,0.000159952
98,2176.99,1.00124,0.59771,0.00487,0.94469,0.85949,0.91354,0.59954,1.45561,0.96312,0.00897,0.000153608,0.000153608,0.000153608
99,2197.56,0.99586,0.57473,0.00498,0.94748,0.85545,0.9127,0.61316,1.43401,0.96825,0.00892,0.000147264,0.000147264,0.000147264
100,2231.45,0.97675,0.57579,0.00464,0.9467,0.86463,0.91432,0.60087,1.45862,0.94964,0.00907,0.000140919,0.000140919,0.000140919
101,2251.33,0.98746,0.6161,0.00569,0.95287,0.86138,0.91465,0.6144,1.44263,0.95008,0.00894,0.000134575,0.000134575,0.000134575
102,2271.74,1.00619,0.58604,0.00505,0.94678,0.86061,0.91514,0.6123,1.41924,0.91944,0.00884,0.000128231,0.000128231,0.000128231
103,2291.6,0.98347,0.53416,0.00472,0.94029,0.86717,0.91526,0.61077,1.45511,0.91942,0.00901,0.000121887,0.000121887,0.000121887
104,2310.71,0.96867,0.56867,0.0047,0.94897,0.87658,0.91571,0.60368,1.4555,0.90782,0.00898,0.000115542,0.000115542,0.000115542
105,2356.42,0.98923,0.56885,0.00488,0.95138,0.87302,0.91726,0.60781,1.46939,0.91748,0.00915,0.000109198,0.000109198,0.000109198
106,2371.39,0.9497,0.53444,0.00464,0.93193,0.8829,0.91922,0.60895,1.47081,0.9037,0.00915,0.000102854,0.000102854,0.000102854
107,2392.09,0.96413,0.5561,0.00482,0.93582,0.88525,0.91975,0.60576,1.46287,0.91011,0.00909,9.65095e-05,9.65095e-05,9.65095e-05
108,2412.73,0.93315,0.54077,0.00456,0.96118,0.85777,0.91942,0.61446,1.46272,0.92897,0.00911,9.01652e-05,9.01652e-05,9.01652e-05
109,2439.73,0.96368,0.6173,0.00471,0.93781,0.8833,0.92192,0.61612,1.45172,0.9237,0.009,8.3821e-05,8.3821e-05,8.3821e-05
110,2464.29,0.93941,0.53824,0.00447,0.95089,0.87835,0.92029,0.61078,1.46786,0.91829,0.00911,7.74768e-05,7.74768e-05,7.74768e-05
111,2480.04,0.88174,0.41467,0.00532,0.95056,0.87578,0.91623,0.60857,1.48488,0.92519,0.00924,7.11325e-05,7.11325e-05,7.11325e-05
112,2493.93,0.8544,0.41006,0.00479,0.95761,0.87402,0.92022,0.60551,1.4627,0.9079,0.00908,6.47882e-05,6.47882e-05,6.47882e-05
113,2512.7,0.84195,0.38589,0.00492,0.95145,0.8731,0.9198,0.6093,1.45721,0.90338,0.00904,5.8444e-05,5.8444e-05,5.8444e-05
114,2533.72,0.84979,0.41456,0.00503,0.94546,0.88631,0.91897,0.61721,1.45477,0.9131,0.00903,5.20998e-05,5.20998e-05,5.20998e-05
115,2553.01,0.83367,0.39878,0.00492,0.94478,0.88095,0.91657,0.61125,1.44628,0.91831,0.00898,4.57555e-05,4.57555e-05,4.57555e-05
116,2587.45,0.83323,0.39292,0.00479,0.94583,0.86496,0.91548,0.60304,1.45868,0.94145,0.00901,3.94112e-05,3.94112e-05,3.94112e-05
117,2602.06,0.82688,0.39168,0.0048,0.94363,0.87089,0.9164,0.61079,1.43744,0.93852,0.00893,3.3067e-05,3.3067e-05,3.3067e-05
118,2621.79,0.85965,0.42888,0.00508,0.94757,0.87424,0.91499,0.61083,1.43983,0.93364,0.00893,2.67228e-05,2.67228e-05,2.67228e-05
119,2671.9,0.82057,0.39487,0.00482,0.93853,0.88176,0.91732,0.61051,1.44987,0.92796,0.00896,2.03785e-05,2.03785e-05,2.03785e-05
120,2692.05,0.80003,0.39155,0.00461,0.9702,0.8605,0.91777,0.60874,1.4499,0.92235,0.00895,1.40342e-05,1.40342e-05,1.40342e-05
